"STAID","ID","Month","Year","qmeas","wb0","wb1","wb2","wb3","wb4","wb5","wb6","wb7","wb8","wb9","wb10","wb11","wb12","p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","p6sum","p3sum","p2sum","X.1","DRAIN_SQKM","PPTAVG_BASIN","T_AVG_BASIN","T_MAX_BASIN","T_MIN_BASIN","WD_JAN_BASIN","WD_FEB_BASIN","WD_MAR_BASIN","WD_APR_BASIN","WD_MAY_BASIN","WD_JUN_BASIN","WD_JUL_BASIN","WD_AUG_BASIN","WD_SEP_BASIN","WD_OCT_BASIN","WD_NOV_BASIN","WD_DEC_BASIN","WD_BASIN","WDMAX_BASIN","WDMIN_BASIN","PRECIP_SEAS_IND","JAN_PPT7100_CM","FEB_PPT7100_CM","MAR_PPT7100_CM","APR_PPT7100_CM","MAY_PPT7100_CM","JUN_PPT7100_CM","JUL_PPT7100_CM","AUG_PPT7100_CM","SEP_PPT7100_CM","OCT_PPT7100_CM","NOV_PPT7100_CM","DEC_PPT7100_CM","JAN_TMP7100_DEGC","FEB_TMP7100_DEGC","MAR_TMP7100_DEGC","APR_TMP7100_DEGC","MAY_TMP7100_DEGC","JUN_TMP7100_DEGC","JUL_TMP7100_DEGC","AUG_TMP7100_DEGC","SEP_TMP7100_DEGC","OCT_TMP7100_DEGC","NOV_TMP7100_DEGC","DEC_TMP7100_DEGC","ET","PERDUN","PERHOR","CONTACT","RUNAVE7100","WB5100_JAN_MM","WB5100_FEB_MM","WB5100_MAR_MM","WB5100_APR_MM","WB5100_MAY_MM","WB5100_JUN_MM","WB5100_JUL_MM","WB5100_AUG_MM","WB5100_SEP_MM","WB5100_OCT_MM","WB5100_NOV_MM","WB5100_DEC_MM","WB5100_ANN_MM","BFI_AVE","HGA","HGB","HGAD","HGC","HGD","HGAC","HGBD","HGCD","HGBC","HGVAR","AWCAVE","PERMAVE","BDAVE","OMAVE","WTDEPAVE","ROCKDEPAVE","NO4AVE","NO200AVE","NO10AVE","CLAYAVE","SILTAVE","SANDAVE","KFACT_UP","RFACT","ELEV_MEAN_M_BASIN_30M","SLOPE_PCT_30M","CaO_pct","MgO_pct","S_pct","LPerm","UCS","anorthositic","gneiss","granitic","intermediate","quarternary","sedimentary","ultramafic","volcanic","SGEO1","SGEO2","SGEO3","SGEO4","SGEO5","SGEO6","SGEO7","SGEO8","SGEO9","SGEO10","SGEO11","SGEO12","SGEO13","SGEO14","SGEO15","SGEO16","SGEO17","SGEO18","SGEO19","SGEO20","SGEO21","SGEO22","SGEO23","SGEO24","SGEO25","SGEO26","SGEO27","SGEO28","SGEO29","SGEO30","SGEO31","SGEO32","SGEO33","SGEO34","SGEO35","SGEO36","SGEO37","SGEO38","SGEO39","SGEO40","SGEO41","SGEO42","SGEO43","SGEO44","SGEO45","HLR1","HLR2","HLR3","HLR4","HLR5","HLR6","HLR7","HLR8","HLR9","HLR10","HLR11","HLR12","HLR13","HLR14","HLR15","HLR16","HLR17","HLR18","HLR19","HLR20"
"T10281800","T10281800",7,1977,11.08,32.74,23.6,0.92,0.5,0.76,1.63,3,5.85,11.77,22.35,38.78,33.89,46.21,2.92,20.77,58.53,19.98,33.15,48.19,38.62,15.45,10.11,6.36,86.94,2.38,29.04,12.89,10.55,0.21,1.38,-5.37,-2.67,-5.14,-2.65,1.26,3.84,7.46,9.15,12.7,219.24,99.28,79.3,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1961,6.38,33.92,30.5,3.58,0.49,0.72,1.28,2.68,5.13,11.75,20.67,31.21,34.33,35.65,3.91,3.1,12.86,24.45,39.86,11.28,35.36,35.51,121.96,25.19,7.74,0.56,2.18,14.02,12.57,4.15,1.12,-2.91,-3.73,-3.29,-3.1,-0.02,3.52,10,12.69,14.05,126.91,40.41,15.96,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1964,13.29,33.47,14.11,1.09,1.02,1.88,3.66,7.33,14.65,29.52,53.02,65.13,61.44,42.41,2.74,2.29,37.16,37.22,43.63,9.57,28.88,19.97,42.3,30.5,31.64,32.19,0.38,12.13,8.02,2.77,-1.08,-4.82,-5.12,-6.35,-3.12,-0.15,4.68,8.86,10.89,11.18,158.75,76.67,39.45,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1960,6.74,35.65,29.86,0.9,0.65,0.95,1.96,3.59,7.32,14.42,19.97,27.17,31.81,32.82,2.18,1.19,6.24,28.68,22.86,124.2,31.74,36.75,4.38,4.46,18.26,0.63,1.52,14.05,12.46,4.9,1.14,-0.86,-6.45,-7.86,-1.9,3.29,5.32,7.47,11.99,14.88,214.91,36.11,7.43,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1962,40.52,51.96,28.88,12.11,13.06,4.97,6.52,2.35,4.21,8.76,16.62,25.94,35.36,33.92,8.28,9.91,26.67,13.38,54.68,303.52,86.73,51.42,51.62,6.07,2.17,16.79,3.91,12.64,9.58,3.24,3.17,-5.35,-5.79,-4.64,-4.05,-0.03,3.78,7.25,12.31,14.02,494.89,49.96,36.58,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1959,9.3,32.82,27.4,7.37,3.08,2.13,4.31,8.31,16.54,30.31,49.3,66.57,66.89,47.86,1.52,0.99,6.04,18.7,17.12,144.57,31.11,9.17,23.89,5.96,17.39,6.61,1.66,14.88,11.63,4.09,3.19,-0.81,-6.75,-3.73,0.45,1.69,5.97,9.04,13.74,11.9,218.53,25.73,7.03,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1957,31.65,50.3,27.99,5.62,2.34,3.93,4.32,8.19,16.28,32.6,44.96,59.41,59.33,52.03,0.3,3.14,70.03,77.67,58.08,65.91,101.47,18.33,7.44,48.47,1.61,0.54,5.52,12.64,11.54,2.82,-0.42,-2.44,-3.53,-8.6,-2,2.33,2.84,9.64,11.3,12.11,376.3,150.84,73.17,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1954,21.74,56.36,34.53,15.56,2.61,3.46,4.87,4.08,7.67,15.3,25.6,43.21,50.34,46.21,9.8,6.69,8.66,30.99,75.64,109.53,111.27,53.41,27.07,10.84,1.65,0.76,1.66,13.69,9.67,7.34,2.83,-4.77,-2.4,-4.97,-2.59,1.61,3.36,10.02,11.41,14.04,342.78,46.34,15.35,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1966,11.76,33,27.05,9.58,0.77,1.31,2.59,5.19,10.52,19.11,27.35,38.07,55.64,39.68,1.64,2.78,18.82,16.96,9.93,21.22,15.7,90.86,125.93,5.86,3.75,10.13,21.65,12.25,9.11,6.24,1.6,-1.84,-7.35,-7.03,-5.15,-0.3,5.65,5.45,11.27,11.57,85.41,38.56,21.6,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
"T10281800","T10281800",7,1975,18.84,47.22,21.54,1.08,0.74,1.52,2.55,5.01,10.12,20.12,39.29,50.75,62.16,52.05,3.58,10.28,9.95,74.62,89.07,67.02,21.75,93.79,20.71,53.25,1.56,3.13,6.84,12.44,9.09,3.87,-4.41,-4.68,-5.67,-4.28,-5.11,-0.83,3.47,10.53,11.75,12.62,272.69,94.85,20.23,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,0.554,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0,0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,0,7.48,71.14,0,0,0,0,0,0.05,7.52,1.37,1.35,5.57,48.88,63.53,17.18,50.33,8.99,25.76,65.24,0.11,34.81,2995.5,57.8,4.2635,2.1317,0.0377,-1.2684,140.9843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.9,0,0,0,0,0,97.8
