STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11275000,T11275000,7,1977,5.61,253.9324600365923,74.21208680232193,330.55151422636084,209.63093522284862,-58.05799558511995,124.79928994315405,201.3634136723341,152.69973486763078,-58.18297655003454,49.595271489384686
T11266500,T11266500,7,1960,146.87,373.0307776352117,-599.7548788132414,182.67515741233524,-105.60290539176013,26.480730538822076,119.9762361261362,-188.55433474533135,14.602083058055557,-20.83766832036332,89.39016566047191
T11266500,T11266500,7,1962,647.94,338.28137431149173,-605.754064973461,286.27505501991203,-238.96019247948587,127.61821931514937,-15.447936306954695,-235.6795429604139,-5.247064522557178,115.37101823289767,9.272182105656492
T11203580,T11203580,7,2002,5.22,-221.49411581718678,162.5273366149914,-428.79808656752,435.4318307523688,34.1119523831433,-107.59731971492333,-63.775481406848165,-173.35169249412118,-39.85356729402564,25.484183515669624
T11226500,T11226500,7,1962,1209.23,589.0265067512128,-349.31724695418114,230.41971726785206,-68.40254277966756,310.1256745602071,-131.15982460320706,28.29642598101056,32.15383994203929,121.15927656888161,28.261496281097422
T10308200,T10308200,7,1968,153.68,542.5049519233813,-149.03981008433405,-543.3932298693719,-257.5471146278483,-63.54336618483536,-24.146385133130323,78.71107392689515,25.820799790194815,-14.92299485859042,-23.41471410335828
T10343500,T10343500,7,1959,1.78,55.181038205018645,400.87952662772176,-242.05664722693746,-250.39481427575384,92.797621916385,-72.41121743039541,80.113261494966,147.45013020803506,-30.20362013393199,-72.528590582279
T11426150,T11426150,7,1962,1.36,-438.2717117134909,-25.223487554630065,697.1662286009946,-157.66966208450478,139.3872138333669,89.84521753852341,-110.40720853878567,9.91507092315927,213.73297583826962,-59.65705544107803
T11275000,T11275000,7,1962,149.55,176.8009977423187,54.32987925125336,566.8992919288394,-101.48725423976595,247.8449692540111,-87.16696788535256,61.209544003741016,59.3398425106673,123.06238098463004,22.186147179376736
T10336660,T10336660,7,2009,7.9,10.62925480330705,364.23509136965134,13.411329313124215,-499.85187090347546,57.29517486795366,4.983070810077107,-20.901004907327646,-186.33641065608566,-21.353250542826903,-17.39352504676386
T11409300,T11409300,7,1994,2.52,-1210.62245472436,-150.8857209542774,258.62405713896925,-24.043427800676312,-317.78205464772617,-74.1799060742125,43.48118784636887,151.45300965541847,50.837516516895604,97.03688269385079
T10308200,T10308200,7,1994,88.94,539.8711661540422,-147.6429129320471,-529.2486037148223,-280.0749776107098,-30.211059651244454,-31.62185772182824,65.31494705834606,75.12056018867865,46.90747380418936,-7.149895907345013
T10343500,T10343500,7,1954,2.51,43.31786511008271,396.1946143079669,-216.23391136559513,-284.35653222666895,135.0130639690605,-15.714318214502265,105.33325336117599,0.07988223960286223,-3.7264815059407477,-18.03000358706242
T11275000,T11275000,7,1960,14.41,214.99979022532534,61.25485175472272,433.2680460337534,64.4472511731418,114.21302791336988,39.0846701782837,82.83178240518583,107.40583865573163,11.111952757071537,123.78337506445466
T11284400,T11284400,7,2007,0.0,-1150.009666005987,29.392494014830035,-616.3156044402116,290.3030701109649,116.06859930737538,-23.269847870617927,-107.3248707614802,43.84857444902723,100.73769051099214,-39.20871847589737
T10343500,T10343500,7,1999,10.89,21.619826055383527,392.5959169010849,-138.70863384431155,-378.01422997881957,196.1519383679009,-145.86054900195248,81.33798513677948,38.545102200657986,3.8060722692447695,-172.62809600108477
T10336770,T10336770,7,2009,5.85,487.94856229937704,437.1233013848962,-113.12115860075404,-149.102839468607,-63.11594040074418,103.88993653939109,-134.8330432376286,-109.90594829854882,-45.94780651460556,36.19582514510632
T11315000,T11315000,7,1979,4.44,-170.13520323604624,34.937579638218295,500.15350318367416,-98.94647945092866,161.68051444305436,47.1860437558224,-110.19212158898291,-22.884815663659964,-90.63913878859084,-22.471878427724633
T11266500,T11266500,7,1975,712.48,345.20587564805254,-607.5832015739995,302.4364759468983,-236.87927372648105,123.94626794895048,62.85057057873344,-142.43238734378141,-100.19695555394551,16.13149323657453,-6.226298829520981
T10281800,T10281800,7,1962,40.52,980.8100268308407,559.3517867075522,-244.780305912396,-54.14908478657612,254.7993947034922,-100.79706714665744,-119.62257166791996,40.751187850478516,81.91406261840956,37.61157063263153
T11226500,T11226500,7,1964,383.23,644.1335578334631,-336.93298932966366,67.9621236267045,166.29989771873855,22.41327506821745,-12.921402863248392,191.22639971569063,-24.289161413418952,-60.23222293143428,-64.22428957652252
T11220000,T11220000,7,1966,1.93,-812.8180970317742,-27.73321054714908,-744.1031632089722,370.79868673026203,-31.52360792266829,-15.013433489728023,-157.87292290127675,-109.92497042613077,32.7541767674118,-154.34844596149372
T11427700,T11427700,7,2001,1.02,-548.2712593679078,-50.88146671735087,453.78554520211384,94.46364228114126,-198.99233272776874,107.2860296074804,-61.90376438279998,139.89938533310365,67.46251111176541,44.944931493115426
T11281000,T11281000,7,1975,61.84,-575.1003311801613,-111.49429704691372,-53.84645604594274,-23.621621952754566,319.1074286117417,-21.73192353578798,-35.38168752918803,-115.08693464645212,34.74246405789745,57.30458876607673
T11284400,T11284400,7,2001,0.0,-1184.3516773246004,18.32792103914565,-512.2050004780516,157.45231383071084,279.8455988261987,49.646869184315086,-93.46361400874811,54.19870970137364,-5.730172882601141,-73.63842319129209
T11281000,T11281000,7,1991,15.49,-527.7421602906253,-101.64235213738316,-177.5284313132938,124.11444006119737,210.35237288836427,221.32333500756928,67.35740736717209,-224.8336264299373,64.95794301047037,146.8872880800069
T11282000,T11282000,7,1992,13.38,-363.17119710020745,-48.36437472857297,-109.91416945634785,216.48874375072322,14.02106778361054,-26.967117556988427,-10.99809646907803,71.36846414133885,92.07073875587875,113.4245433875261
T10336580,T10336580,7,2002,10.99,351.4990605076292,399.23951352192955,-46.275840318584294,-217.2682531770129,-280.9133473229725,-60.00748118098261,-36.02493980446631,-183.03301016596953,-38.47668766321719,69.73276881881816
T11237500,T11237500,7,2001,2.86,120.2422121138648,145.98528024464443,194.40337530568334,132.95552823712157,257.5440356266914,-25.328013089715792,58.910200605696524,108.42547592217414,-10.911209460017592,47.90524347107227
T11427700,T11427700,7,1987,1.04,-546.9535086787379,-53.40781481968998,470.95299287469555,66.45357402776729,-126.35261138986263,202.043598481308,-45.75982775283474,116.60850781881055,16.70234373537428,75.94209447586768
T10343500,T10343500,7,1991,2.15,63.039299823955396,401.2557221726533,-275.6297206590744,-216.97375158238967,120.9516093803754,205.0769583036112,201.30897722650977,-147.76372989908154,41.33609938311221,146.6720401066455
T11266500,T11266500,7,1955,289.32,390.5207100149969,-595.3867025529047,143.21934699313778,-20.27151290488475,-147.73839172264917,-13.142356555397356,-134.73274799163437,-51.60762389530682,-160.36925570867373,-31.04007880874429
T11409500,T11409500,7,1961,10.23,-1335.771767757122,-190.08509921635687,203.38630815823544,-89.1609684963646,-201.65580581989582,101.46671515038538,146.8676047520293,-102.3615040633831,46.43837455138529,-33.79608645207422
T11413320,T11413320,7,2001,2.76,-1459.1874092874239,-142.56695267320075,402.795033335941,-247.5471462255065,-68.92800975158839,-89.56065038758274,75.42542195259391,231.2219019697653,121.01725258259167,132.92799984001638
T11230500,T11230500,7,1960,52.16,987.0755218975378,174.9671325900183,349.75631715400226,335.10917230721645,189.10898642853437,-21.253161929333363,-32.486348351493156,38.388768871315186,38.4990842206922,36.436139215881184
T10343500,T10343500,7,1990,1.96,77.62714158347477,409.0839985410903,-314.4560693290193,-159.61711955396518,-12.334355681385153,32.54568983586466,157.57471578793582,121.06089695841196,8.559901285222809,-86.53034983085689
T10336676,T10336676,7,1988,1.47,86.52537534512041,387.6002233194443,-221.08790092549305,-180.25137158819783,-273.7355882808727,20.365477598132724,-22.569320936652726,4.256139629634012,-195.9689175874226,68.25022557099811
T11214000,T11214000,7,1959,9.22,804.8780424079109,179.78421258262165,445.11989964560473,163.80643048838044,186.78945666205092,-57.43016304361004,-180.13816890230908,138.16174032811838,135.37121756284782,-96.74175458068623
T10336660,T10336660,7,1981,3.72,56.60044654014127,371.0411868983545,-118.21623197246524,-342.1404434639575,-48.83669512991087,75.00833593483758,-57.123145901043145,7.02686480234046,-93.93050795660089,-3.5604281973657605
