STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11275000,T11275000,7,1977,5.61,1.4128389441240952,0.33409653957255614,0.9578711513022318,-0.03334854644913167,-0.4037537307668822,-0.49385844322100414,-0.14929678341598185,0.09970346799465168,-0.08614792554100394,0.1201508295671382
T11266500,T11266500,7,1960,146.87,0.6505937464930948,-0.41853610227307764,0.8776816467500674,-0.031009457785486718,-0.11698517715055748,0.3461042661467696,-0.5221433543898423,-0.3772925685587723,-0.17910243002904,0.38326473264983824
T11266500,T11266500,7,1962,647.94,0.6976724634661648,-0.33537744672488834,0.9202162204300307,-0.027612575164169255,-0.06682672342083036,0.2968570324972141,-0.41854382647092037,-0.3926312531625792,-0.1317044867361369,0.30718748249255623
T11203580,T11203580,7,2002,5.22,-1.9284297592140933,-1.9623557009440247,-0.2788770096737488,-0.1866534390564089,-0.5395237230204227,0.4740401850026082,0.22893265433443089,0.04859233694738144,0.7385582491619387,-0.5261634515923941
T11226500,T11226500,7,1962,1209.23,1.412839545105677,0.042196076107228836,0.18822867255313255,-0.5626546681972677,-0.23977375462759265,0.07207912873907173,0.34356045264760104,-0.7893415181825354,-0.20306764844876868,0.24493641003255373
T10308200,T10308200,7,1968,153.68,0.9679259364049732,-0.06595552260494937,-1.5476530307420044,-0.2680911164750235,-0.23798995638070314,-0.19504791662179763,-0.23737865053406138,-0.05761448052888746,0.21235933166085263,-0.19908945564529093
T10343500,T10343500,7,1959,1.78,0.333383022473095,0.22304274223870835,-1.9261482307084008,0.9947667270719278,0.8357885225113021,0.04346283702150199,0.6557363342837715,-0.05904183899522715,0.26619690422425885,0.7408634607182583
T11426150,T11426150,7,1962,1.36,0.6259402900104141,2.138974063011372,0.6861520107234383,-0.015905004964891955,-0.29220607225305895,-0.13099235620214278,0.5851749599370731,0.09605416294657161,0.30569309510796433,0.25309578056190424
T11275000,T11275000,7,1962,149.55,1.4654736224866445,0.4387154374306879,1.0252659315467796,-0.036450360708313395,-0.27247517387841236,-0.5139163220883814,-0.03366667996562815,0.06483770080158675,-0.06973205105645348,-0.008023782347859875
T10336660,T10336660,7,2009,7.9,0.480710338970093,1.621245795276269,-0.8671438973883734,-0.0034973769406043053,-0.2945102947774545,0.7593437322375686,-0.2873145497306439,-0.21023539059466384,0.3045757681278093,-0.7056936784411435
T11409300,T11409300,7,1994,2.52,-2.8098170775406586,2.1095740433135206,0.4838527939355916,-0.8369549853686198,0.06902467352148013,0.08010346480785241,-0.10134551016393124,0.33304920866020543,-0.10842103553175983,0.3769444204719225
T10308200,T10308200,7,1994,88.94,1.0215754933357817,-0.06450282236607252,-1.5299552827743383,-0.2702304404485001,-0.20905721672445143,-0.17962914146245673,-0.17103920523855648,-0.020654806994580017,0.1929392345968182,-0.2061170252737867
T10343500,T10343500,7,1954,2.51,0.3752188570920384,0.21117994973112467,-1.9388604324373506,0.9810782768955029,0.8521694198367155,0.07959262249798824,0.6436937373119657,-0.036805446385485815,0.21427926620381754,0.7567736453295717
