STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11237500,T11237500,7,2000,4.52,74.59263891387458,4.861634088042112,291.80507220499703,48.94319664938753,399.1212616936852,-124.8183807020101,146.35357137717745,99.15745098517392,-89.31503016150585,22.769304832764874
T10308200,T10308200,7,1971,516.74,607.1319708940367,49.08171060021695,-427.26497723993225,-400.28729793542095,-237.12788252414205,64.61136761008946,-130.61320183635593,15.104279237778943,-81.5963442506133,63.760148138655424
T11264500,T11264500,7,1970,322.1,468.9311634457484,-350.1930883594457,115.04838296736328,217.12334332991065,-36.48919733662564,20.02041429608358,202.5705439375764,-179.49581883138052,142.61041529845545,115.53126827696275
T11284400,T11284400,7,1993,0.14,-1183.8772396971792,221.60361453018027,-391.2301038923981,-246.50299809985972,342.95919326311366,198.7536167966915,152.78920390255195,-33.09220217791172,85.80235322880252,-44.90879344967317
T10336660,T10336660,7,1977,3.73,225.93210314771804,554.6557978932401,-197.23052265715603,-83.04223697574668,-200.3400307486693,-273.00228020574394,47.12339054529966,-130.7914705899417,-1.1686399363586748,-64.95787826697808
T11264500,T11264500,7,1977,53.87,608.9875473121164,-129.52740596000274,-232.0207911720955,418.5568278945465,-57.116192019821995,-193.71564327033977,51.59021631829391,-210.25506922095042,117.9725581672172,-39.913139424981054
T11409300,T11409300,7,1975,9.05,-1349.559895681462,-307.58071611805786,271.5209703146836,11.201373348933194,-1.206675449906957,-432.9309323295045,-138.30896227062328,152.33125794617598,-18.73159928858551,-186.59964306548395
T10336580,T10336580,7,2001,3.75,422.7009417131596,405.9906324879234,97.84320579250024,-94.17924198040453,-201.7754951478761,-248.89569147403546,51.40262790280974,-67.6856808790262,9.625387376720678,-51.36795239447933
T10291500,T10291500,7,1962,111.39,779.8339781376147,390.8282206479274,175.07687321181456,-271.62354062198176,70.21309303903472,-148.50987188158388,35.28224769610171,132.90329571609632,-27.51988548211999,-17.873817166739734
T11264500,T11264500,7,1985,125.94,589.8088569073827,-155.1301375946657,-188.47889094491882,421.08466411054667,-154.6311287074453,-132.75022220882263,-65.51312783255909,-26.307497147488313,215.1476673163451,134.89158704904045
T10336645,T10336645,7,2000,1.74,-26.50751185126371,278.9783600439825,257.3290228469247,-333.89881846234505,-116.08631886528774,-299.527392604079,178.9325592595399,-25.785683164616525,-49.843643442507904,40.76980834521118
T11281000,T11281000,7,1991,15.49,-427.07294244425475,123.36688161341125,-406.21317461338657,68.22338747216556,216.97023080239074,-63.47844551326521,-281.1778542401032,-78.92454126765082,66.38983699903962,-24.611205344876556
T11284400,T11284400,7,1988,0.0,-963.9490842587775,511.16855799621356,-848.8270459791305,56.4711996895982,194.91038920003157,105.97571984961331,8.1261150078308,-135.60509497622562,9.33473007390531,-44.92011492795047
T11237500,T11237500,7,2007,0.47,273.3708223731582,280.1494830964816,-161.4648762754993,382.54276196361417,141.29424170815892,-53.139701217818974,62.68159038336496,122.73031900843222,-101.01556096597739,-24.701837032581082
T11226500,T11226500,7,1977,109.45,720.2518832207578,-234.80559375682498,-263.77474326442785,219.05092764098595,127.71401375146708,-64.44210403587374,-12.782794463726963,-48.716149432996986,-162.7543339905324,11.478178217258614
T11266500,T11266500,7,1989,186.0,448.59315547357926,-494.3191078721435,-315.6439216220116,191.0456492476989,-171.07436746438506,-75.70075284000846,-113.49427639477497,-86.35152379405422,151.18844255871065,-28.63852814712769
T11315000,T11315000,7,1997,2.52,-178.4355017081924,-98.2974557094181,266.5243543739413,294.63867700100246,-229.31517578555653,360.8538533563837,285.42858520064743,-108.89511668403676,53.42299272193245,98.10846805368006
T11284400,T11284400,7,1974,0.34,-1044.973727394425,416.88813629806344,-700.3520700775653,-24.18113945621742,158.4263015821536,205.05910905431426,-122.62901181474143,-33.282918177788396,100.7207052389162,24.20834302548254
T11334300,T11334300,7,1971,2.9,-1093.8278767089964,317.14426297739396,-814.9376057191322,50.77897784990769,22.30226418724191,284.79558619828714,-113.7592043166477,67.23769041164913,6.981474455526181,62.74508412699912
T11237500,T11237500,7,2009,3.92,177.36577488495212,146.65630472371487,61.98188350423157,236.5948667841231,185.55231830845673,19.372573937446965,10.020487600243682,103.19093881289392,-94.91879067707725,-8.013749694208713
T10308200,T10308200,7,1999,482.03,531.7797794257708,-71.2723435898072,-231.00753581851092,-558.3085875938705,-36.50690400346479,-92.51788162066714,51.23206119741682,97.89757532892101,-61.16534676551343,73.89846338813395
T11266500,T11266500,7,1952,1352.26,330.0573004557873,-681.0308050676567,-23.088206831986653,13.442393038968364,-156.86572827039654,169.90219647343227,49.904392075610865,-93.51594077739827,180.08190075432816,16.59810767391049
T11409300,T11409300,7,1995,12.96,-1749.217031939584,-866.326542764745,1154.6719042625505,-547.8045879512631,67.79872289236194,221.60617902536285,-304.0913495854112,-405.03350519432433,-84.4601643486569,190.97156276931568
T11213500,T11213500,7,1960,385.19,998.2698194920356,-1582.9280590377407,-1276.5792267875208,-405.31811950064986,-47.90692768066516,-184.77153332889046,29.532307274211732,80.81412898725138,-62.73722398218529,-57.6064679469643
T11213500,T11213500,7,1973,2133.55,892.7739159842433,-1737.3497738386673,-1026.8017764001693,-567.0505421291332,6.847643911825968,-115.17841647806142,14.565330275113153,113.7437986639127,2.269111192303126,88.93929048458311
T10336676,T10336676,7,1976,1.61,240.27044091000297,579.7840408757688,-227.16417651584533,-14.254538420736232,-297.82749024025424,-276.79500911525855,22.424082317592834,-20.36993946571713,-3.892380736215395,49.69787097798785
