STAID,ID,Month,Year,qmeas,wb0,wb1,wb2,wb3,wb4,wb5,wb6,wb7,wb8,wb9,wb10,wb11,wb12,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p6sum,p3sum,p2sum,X.1,DRAIN_SQKM,PPTAVG_BASIN,T_AVG_BASIN,T_MAX_BASIN,T_MIN_BASIN,WD_JAN_BASIN,WD_FEB_BASIN,WD_MAR_BASIN,WD_APR_BASIN,WD_MAY_BASIN,WD_JUN_BASIN,WD_JUL_BASIN,WD_AUG_BASIN,WD_SEP_BASIN,WD_OCT_BASIN,WD_NOV_BASIN,WD_DEC_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,ET,PERDUN,PERHOR,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,BFI_AVE,HGA,HGB,HGC,HGD,PERMAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,RFACT,ELEV_MEAN_M_BASIN_30M,SLOPE_PCT_30M,CaO_pct,MgO_pct,LPerm,UCS,granitic,sedimentary,volcanic,SGEO8,SGEO14,SGEO19,SGEO20,SGEO21,SGEO43,SGEO44,HLR15,HLR16,HLR18,HLR19,HLR20
T10281800,T10281800,7,1978,35.58,48.12,20.78,9.66,17.43,24.44,14.37,10.89,9.83,10.08,20.47,26.69,35.62,32.74,11.17,2.23,10.59,62.94,149.99,187.1,137.9,196.63,10.01,16.55,3.24,18.67,2.92,12.16,9.07,3.65,-2.08,-1.6,-4.95,-5.08,-2.09,0.44,5.02,7.74,12.5,12.89,550.75,75.76,12.82,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1965,61.48,39.68,5.69,0.49,1.57,0.73,1.38,2.86,5.61,10.52,21.46,24.76,33.06,33.47,21.65,6.11,5.51,113.83,28.57,16.24,62.42,130.73,43.41,21.38,3.05,6.61,2.74,11.57,6.7,2.44,-1.56,-3.5,-4.33,-4.64,-3.95,-2.25,5.88,7.01,11.95,12.13,232.68,125.45,11.62,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1977,11.08,32.74,23.6,0.92,0.5,0.76,1.63,3.0,5.85,11.77,22.35,38.78,33.89,46.21,2.92,20.77,58.53,19.98,33.15,48.19,38.62,15.45,10.11,6.36,86.94,2.38,29.04,12.89,10.55,0.21,1.38,-5.37,-2.67,-5.14,-2.65,1.26,3.84,7.46,9.15,12.7,219.24,99.28,79.3,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1971,19.0,46.89,12.63,1.39,1.16,2.27,4.48,7.32,12.64,26.82,39.54,56.51,66.45,51.3,6.56,1.19,46.94,24.43,25.8,16.12,21.83,93.42,133.96,5.42,1.56,3.98,6.69,13.58,8.53,1.65,-1.15,-2.95,-4.63,-4.19,-6.82,-0.28,3.17,7.55,13.4,13.34,136.31,72.56,48.13,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1963,42.65,42.41,23.78,11.87,11.83,14.67,19.2,5.48,10.41,20.9,33.37,52.14,63.46,51.96,0.38,32.16,23.51,105.95,98.93,207.37,161.5,8.17,6.24,14.32,15.65,0.54,8.28,11.18,6.9,4.64,-3.73,-4.28,-1.7,-5.62,-1.79,2.69,5.43,9.09,12.6,12.64,629.42,161.62,55.67,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1961,6.38,33.92,30.5,3.58,0.49,0.72,1.28,2.68,5.13,11.75,20.67,31.21,34.33,35.65,3.91,3.1,12.86,24.45,39.86,11.28,35.36,35.51,121.96,25.19,7.74,0.56,2.18,14.02,12.57,4.15,1.12,-2.91,-3.73,-3.29,-3.1,-0.02,3.52,10.0,12.69,14.05,126.91,40.41,15.96,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1964,13.29,33.47,14.11,1.09,1.02,1.88,3.66,7.33,14.65,29.52,53.02,65.13,61.44,42.41,2.74,2.29,37.16,37.22,43.63,9.57,28.88,19.97,42.3,30.5,31.64,32.19,0.38,12.13,8.02,2.77,-1.08,-4.82,-5.12,-6.35,-3.12,-0.15,4.68,8.86,10.89,11.18,158.75,76.67,39.45,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1952,54.13,58.02,33.16,25.74,13.97,2.1,3.72,7.58,9.38,8.51,15.9,28.91,35.94,41.74,12.37,2.98,3.66,114.32,147.35,21.2,171.41,300.32,35.73,15.44,1.67,0.74,6.06,12.91,8.01,6.08,0.36,-6.07,-6.07,-8.37,-5.37,1.06,3.63,9.79,12.13,13.04,460.92,120.96,6.64,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1969,80.71,70.97,59.32,39.42,18.86,15.01,10.91,18.18,6.21,12.56,24.53,34.49,46.98,52.2,8.13,16.99,29.82,33.49,56.78,309.57,603.09,80.25,30.4,23.39,1.67,2.76,11.59,12.57,7.5,5.79,-0.44,-4.66,-9.42,-5.23,-6.79,-0.8,3.91,8.52,9.99,12.82,1049.74,80.3,46.81,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
T10281800,T10281800,7,1951,27.48,41.74,30.59,9.67,3.1,4.76,9.48,18.92,34.53,54.36,10.03,12.94,24.69,39.17,6.06,5.24,14.51,78.62,12.07,17.7,61.04,110.54,196.16,30.14,18.84,6.64,18.07,13.04,10.28,5.21,1.03,-2.25,-5.35,-5.08,-0.53,3.25,5.44,7.6,12.72,13.3,189.18,98.37,19.75,191,31.4,69.71,2.34,9.84,-2.59,8.08,7.69,7.97,5.69,3.62,1.09,1.06,1.06,1.85,2.62,5.4,7.61,53.7,8.1,1.1,11.35,13.57,13.74,5.47,2.97,1.09,0.71,1.18,1.8,2.84,5.17,9.57,-3.28,-3.65,-2.03,0.45,4.77,9.58,13.16,12.84,9.37,5.01,0.18,-2.57,336.1,0.0,0.0,9.1,152.5,5.2,3.3,3.1,3.5,9.2,34.3,54.9,55.2,42.8,29.6,18.2,9.3,268.6,67.2,1.77,19.61,7.48,71.14,7.52,1.35,48.88,63.53,17.18,50.33,8.99,25.76,65.24,34.81,2995.5,57.8,4.2635,2.1317,-1.2684,140.9843,1,0,0,80.7,0,0,0.0,0.0,0,19.3,0.0,0.0,0.0,0.0,97.8
