STAID,ID,Month,Year,qmeas,X.1,granitic,sedimentary,volcanic,SGEO8,SGEO44,HLR16,HLR18,HLR19,HLR20
T10281800,T10281800,7,1978,35.58,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1965,61.48,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1977,11.08,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1971,19.0,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1963,42.65,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1961,6.38,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1964,13.29,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1952,54.13,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1969,80.71,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1951,27.48,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1960,6.74,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1974,26.03,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1962,40.52,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1959,9.3,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1957,31.65,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1954,21.74,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1966,11.76,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1975,18.84,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1958,49.29,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1955,19.06,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1976,9.97,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1968,14.26,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1967,69.55,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
T10281800,T10281800,7,1970,22.42,0.0,1.0,0.0,0.0,0.807,0.193,0.0,0.0,0.0,0.9799599198396793
