Flow,X1,X2,X3,X4,X5,X6,X7,X8,X9
1.0,1.0,192.0,142.0,1.0,192.0,142.0,1.0,192.0,142.0
2.0,1.0,384.0,334.0,1.0,384.0,334.0,1.0,384.0,334.0
3.0,0.0,576.0,576.0,0.0,576.0,576.0,0.0,576.0,576.0
4.0,0.0,768.0,768.0,0.0,768.0,768.0,0.0,768.0,768.0
5.0,0.0,960.0,960.0,0.0,960.0,960.0,0.0,960.0,960.0
6.0,0.0,1152.0,1152.0,0.0,1152.0,1152.0,0.0,1152.0,1152.0
7.0,1.0,1344.0,1294.0,1.0,1344.0,1294.0,1.0,1344.0,1294.0
8.0,0.0,1536.0,1536.0,0.0,1536.0,1536.0,0.0,1536.0,1536.0
9.0,1.0,1728.0,1678.0,1.0,1728.0,1678.0,1.0,1728.0,1678.0
10.0,0.0,1920.0,1920.0,0.0,1920.0,1920.0,0.0,1920.0,1920.0
