Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Dry Test Scaled, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': False}",0.012643825856514544,0.8178541891655549
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.01388388351823655,0.7999900307344701
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.01388388351823661,0.7999900307344693
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.015787982824956023,0.7725597484712082
"Jul IntMnt Dry Test, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.016087490398555455,0.7682450694758297
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",0.016297265520678592,0.765223068054296
"Jul IntMnt Dry Test, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.016386243924897202,0.7639412532169931
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Averaging Ensemble,"{'weights': [0.67419417310929408, 0.56471417377375166, 0.61848200933784858], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.01649026269792289,0.7624427681880328
"Jul IntMnt Dry Test Scaled, Test Score",Averaging Ensemble,"{'weights': [0.67513849242324642, 0.60558459480485305, 0.40652429001620144], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",0.01657889643275178,0.7611659186267605
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Ridge Regression {'normalize': True, 'alpha': 0.1}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'max_features': 'sqrt', 'random_state': 47392, 'n_estimators': 20}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}], 'includeOriginalFeatures': True}",0.016673011314982358,0.759810108152145
