Month,Base DataSet,Model Method,R Squared,Mean O/E,Standard Deviation O/E,Mean Squared Error,RMSE (cfs)
Jan ,All Years Scaled,Stacking OF Ensemble,0.6254071791584074,1.0922591918143272,0.7170599884377473,35513.983062117084,177.4153560511889
Feb ,Wet Years Scaled,Averaging Ensemble,0.6977338662902445,0.8214163165297748,0.8258953684992448,18041.22975298383,131.48823509369996
Mar ,All Years Scaled,Stacking OF Ensemble,0.828593765840416,1.0541480918042625,0.4518094443803332,12316.921663686697,110.5169006122467
Apr ,All Years Scaled features selected via Expert Selection,Random Forest,0.861490319432596,0.9347868178195295,0.4033006983634288,33528.939584551474,173.3162060477252
May ,All Years features selected via Variance Threshold .08,Stacking OF Ensemble,0.9101499590173536,1.0324423014672215,0.5049990569965057,119626.08095832802,336.74318119605715
Jun ,All Years,Stacking OF Ensemble,0.9370722504812756,1.1193801734962878,0.8811392064960006,114379.29282558,323.18270951157314
Jul ,Wet Years,Stacking Ensemble,0.8212652798023408,1.1586598172921498,2.4022742203397884,120571.64432124984,334.724179177731
Aug ,All Years features selected via Variance Threshold .08,Random Forest,0.8080181258612209,0.9068909118602048,0.5892054994892973,12426.334067267375,108.45296218587869
Sep ,All Years Scaled,Stacking Ensemble,0.6682934393014452,1.2085077014508159,0.9297746712024316,8649.975823030165,86.03518360664742
Oct ,All Years Scaled,Stacking OF Ensemble,0.7553217529811955,1.034021213991814,0.8726382547744403,885.7458179202948,28.11006971047225
Nov ,All Years,Stacking Ensemble,0.7708469930191277,1.0185788103546916,0.8170462010456923,2313.821569776891,45.88360313087511
Dec ,All Years Scaled,Stacking Ensemble,0.7010119931460284,1.2856615427838016,0.9823506500178308,15670.290995595913,119.31150519274334
